INSERT INTO `Review` (`Review_ID`, `Review_Text`, `Book_ID`, `User_ID`, `Rating`, `Status`)
VALUES
(1, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 28, 22, 5, 'Approved'),
(30, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 6, 25, 3, 'Approved'),
(31, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 57, 26, 3, 'Approved'),
(32, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 8, 69, 5, 'Approved'),
(33, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 53, 5, 5, 'Approved'),
(34, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 5, 18, 2, 'Approved'),
(35, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 63, 53, 5, 'Approved'),
(36, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 36, 67, 5, 'Approved'),
(37, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 130, 2, 4, 'Approved'),
(38, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 121, 16, 3, 'Approved'),
(39, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 90, 24, 5, 'Approved'),
(40, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 41, 78, 2, 'Approved'),
(41, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 110, 25, 4, 'Approved'),
(42, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 37, 25, 1, 'Approved'),
(43, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 145, 25, 3, 'Approved'),
(44, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 124, 37, 4, 'Approved'),
(45, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 75, 42, 2, 'Approved'),
(46, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 81, 2, 3, 'Approved'),
(47, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 67, 1, 5, 'Approved'),
(48, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 6, 53, 5, 'Approved'),
(49, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 110, 48, 1, 'Approved'),
(50, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 45, 71, 2, 'Approved'),
(51, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 56, 34, 4, 'Approved'),
(52, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 117, 67, 1, 'Approved'),
(53, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 5, 33, 5, 'Approved'),
(54, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 114, 34, 2, 'Approved'),
(55, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 26, 42, 1, 'Approved'),
(56, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 124, 63, 4, 'Approved'),
(57, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 132, 35, 1, 'Approved'),
(58, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 65, 19, 5, 'Approved'),
(59, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 72, 16, 4, 'Approved'),
(60, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 94, 70, 2, 'Approved'),
(61, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 52, 6, 4, 'Approved'),
(62, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 50, 72, 5, 'Approved'),
(63, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 54, 53, 2, 'Approved'),
(64, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 52, 68, 1, 'Approved'),
(65, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 110, 56, 1, 'Approved'),
(66, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 122, 62, 3, 'Approved'),
(67, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 42, 76, 4, 'Approved'),
(68, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 103, 18, 2, 'Approved'),
(69, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 96, 61, 4, 'Approved'),
(70, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 73, 41, 4, 'Approved'),
(71, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 25, 68, 2, 'Approved'),
(72, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 22, 11, 3, 'Approved'),
(73, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 38, 50, 2, 'Approved'),
(74, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 121, 18, 5, 'Approved'),
(75, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 48, 75, 3, 'Approved'),
(76, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 55, 31, 3, 'Approved'),
(77, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 102, 37, 3, 'Approved'),
(78, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 109, 70, 2, 'Approved'),
(79, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 130, 23, 2, 'Approved'),
(80, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 96, 37, 3, 'Approved'),
(81, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 95, 77, 5, 'Approved'),
(82, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 51, 76, 4, 'Approved'),
(83, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 100, 13, 4, 'Approved'),
(84, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 48, 64, 4, 'Approved'),
(85, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 71, 13, 2, 'Approved'),
(86, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 18, 10, 4, 'Approved'),
(87, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 62, 34, 3, 'Approved'),
(88, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 58, 69, 4, 'Approved'),
(89, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 134, 50, 3, 'Approved'),
(90, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 5, 16, 4, 'Approved'),
(91, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 95, 10, 2, 'Approved'),
(92, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 31, 23, 2, 'Approved'),
(93, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 63, 2, 1, 'Approved'),
(94, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 117, 26, 4, 'Approved'),
(95, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 141, 57, 2, 'Approved'),
(96, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 83, 47, 3, 'Approved'),
(97, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 73, 10, 3, 'Approved'),
(98, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 113, 14, 3, 'Approved'),
(99, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 12, 26, 3, 'Approved'),
(100, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 74, 60, 4, 'Approved'),
(101, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 123, 13, 5, 'Approved'),
(102, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 73, 16, 2, 'Approved'),
(103, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 137, 2, 4, 'Approved'),
(104, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 5, 33, 3, 'Approved'),
(105, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 26, 71, 1, 'Approved'),
(106, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 60, 80, 3, 'Approved'),
(107, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 20, 31, 1, 'Approved'),
(108, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 76, 41, 3, 'Approved'),
(109, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 120, 64, 2, 'Approved'),
(110, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 132, 19, 1, 'Approved'),
(111, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 11, 15, 3, 'Approved'),
(112, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 97, 39, 1, 'Approved'),
(113, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 135, 68, 1, 'Approved'),
(114, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 62, 58, 4, 'Approved'),
(115, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 122, 39, 1, 'Approved'),
(116, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 60, 58, 3, 'Approved'),
(117, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 17, 35, 1, 'Approved'),
(118, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 67, 43, 4, 'Approved'),
(119, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 37, 77, 5, 'Approved'),
(120, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 54, 49, 2, 'Approved'),
(121, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 107, 58, 3, 'Approved'),
(122, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 118, 36, 3, 'Approved'),
(123, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 127, 48, 1, 'Approved'),
(124, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 111, 77, 5, 'Approved'),
(125, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 98, 80, 2, 'Approved'),
(126, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 20, 4, 1, 'Approved'),
(127, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 85, 59, 4, 'Approved'),
(128, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 110, 78, 5, 'Approved'),
(129, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 55, 43, 3, 'Approved'),
(130, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 63, 75, 4, 'Approved'),
(131, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 116, 73, 4, 'Approved'),
(132, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 127, 73, 1, 'Approved'),
(133, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 9, 64, 3, 'Approved'),
(134, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 72, 51, 5, 'Approved'),
(135, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 30, 70, 4, 'Approved'),
(136, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 20, 21, 4, 'Approved'),
(137, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 131, 77, 1, 'Approved'),
(138, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 77, 52, 2, 'Approved'),
(139, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 121, 64, 2, 'Approved'),
(140, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 105, 58, 4, 'Approved'),
(141, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 132, 22, 5, 'Approved'),
(142, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 30, 36, 2, 'Approved'),
(143, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 52, 5, 5, 'Approved'),
(144, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 6, 75, 2, 'Approved'),
(145, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 21, 61, 4, 'Approved'),
(146, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 26, 74, 2, 'Approved'),
(147, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 114, 80, 3, 'Approved'),
(148, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 93, 1, 3, 'Approved'),
(149, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 11, 3, 2, 'Approved'),
(150, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 81, 33, 3, 'Approved'),
(151, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 102, 36, 3, 'Approved'),
(152, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 91, 2, 5, 'Approved'),
(153, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 145, 80, 1, 'Approved'),
(154, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 21, 54, 2, 'Approved'),
(155, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 1, 2, 1, 'Approved'),
(156, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 63, 57, 5, 'Approved'),
(157, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 134, 3, 2, 'Approved'),
(158, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 28, 80, 4, 'Approved'),
(159, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 97, 6, 2, 'Approved'),
(160, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 136, 69, 2, 'Approved'),
(161, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 130, 30, 3, 'Approved'),
(162, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 49, 56, 4, 'Approved'),
(163, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 51, 7, 3, 'Approved'),
(164, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 28, 57, 4, 'Approved'),
(165, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 41, 32, 3, 'Approved'),
(166, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 113, 26, 5, 'Approved'),
(167, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 2, 58, 4, 'Approved'),
(168, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 13, 9, 3, 'Approved'),
(169, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 148, 29, 3, 'Approved'),
(170, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 143, 42, 5, 'Approved'),
(171, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 137, 74, 5, 'Approved'),
(172, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 127, 36, 2, 'Approved'),
(173, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 78, 54, 3, 'Approved'),
(174, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 86, 78, 1, 'Approved'),
(175, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 97, 9, 3, 'Approved'),
(176, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 14, 52, 5, 'Approved'),
(177, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 15, 35, 4, 'Approved'),
(178, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 80, 56, 3, 'Approved'),
(179, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 50, 55, 1, 'Approved'),
(180, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 125, 67, 3, 'Approved'),
(181, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 100, 22, 1, 'Approved'),
(182, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 101, 46, 3, 'Approved'),
(183, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 101, 3, 3, 'Approved'),
(184, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 24, 27, 3, 'Approved'),
(185, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 46, 44, 3, 'Approved'),
(186, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 137, 73, 4, 'Approved'),
(187, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 37, 10, 4, 'Approved'),
(188, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 67, 38, 2, 'Approved'),
(189, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 125, 17, 4, 'Approved'),
(190, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 55, 72, 2, 'Approved'),
(191, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 83, 63, 5, 'Approved'),
(192, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 70, 3, 1, 'Approved'),
(193, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 11, 7, 5, 'Approved'),
(194, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 13, 30, 3, 'Approved'),
(195, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 136, 20, 4, 'Approved'),
(196, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 104, 8, 4, 'Approved'),
(197, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 80, 44, 3, 'Approved'),
(198, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 18, 46, 2, 'Approved'),
(199, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 95, 34, 4, 'Approved'),
(200, 'An awesome, page-turner, book. My review doesn't apply to my rating!', 88, 7, 2, 'Approved');
